#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
-69.8923,244,384.344814
154.12534,437,384.616134
95.80441,1000,384.645312
-67.730034,393,385.0732
176.71066,388,385.645366
-98.34805,318,385.807072
-96.673996,290,386.092162
-33.160835,388,386.281181
-70.887184,213,386.821193
-68.812515,149,386.901468
151.38033,534,387.442727
127.99896,1000,388.195392
74.8034,1000,388.704806
-80.21543,209,388.740179
142.99417,538,389.003505
179.81364,463,389.068904
-83.83684,378,389.187254
-76.31701,246,389.55029
184.35205,490,389.626921
-70.11965,179,389.630118
-77.54227,146,389.692687
168.87767,928,390.031358
182.69963,377,390.302002
-96.050316,429,391.001987
221.47208,391,391.520993
-82.138794,444,391.714453
-73.304016,278,391.874148
-85.01101,145,391.90857
187.24127,627,391.994411
-60.479652,384,392.028263
-73.60746,184,392.847954
-97.88522,332,393.729433
-53.98273,380,394.038053
209.81302,439,394.045468
-108.66206,204,394.201438
14.168844,1000,394.811208
89.61218,1000,394.921077
-123.6924,505,394.934364
-83.72372,240,395.111762
-61.741505,199,395.116017
-67.978714,172,395.581501
-71.380554,178,395.696321
-89.265434,232,396.296814
144.22057,510,396.833855
211.9591,497,396.933227
-101.671425,241,397.04101
23.159966,1000,397.321738
-120.47711,429,397.48102
-65.90622,153,397.632274
191.79575,491,398.436977
-109.60732,275,398.442965
-72.875916,222,398.568558
-119.09776,377,398.813465
-100.41771,311,398.820973
-80.14244,181,399.334338
-74.600235,225,399.400731
-49.569504,387,399.430574
52.80065,1000,399.851806
-118.54733,429,400.310036
-99.6438,362,400.393203
-76.60144,243,400.427357
-75.198456,244,400.985702
22.19424,1000,401.160892
-98.99012,137,401.691552
182.587,493,401.710091
124.69044,700,402.05495
-88.41602,376,402.260796
-128.4638,392,402.294122
-56.019207,262,402.454098
68.48813,704,402.749378
-127.10569,565,402.981515
-99.9682,164,403.137522
-94.42002,264,403.184247
-76.86614,359,403.292869
-100.814835,350,403.786782
-83.494514,150,403.836997
-111.024284,399,403.990299
-78.02243,282,404.763208
-59.30192,463,405.053133
-133.32076,430,405.228831
134.26784,402,405.308925
-103.049805,336,405.955924
210.7879,866,406.045512
-88.90019,238,406.501338
-108.95769,255,406.511123
-134.85327,530,406.759889
216.46558,462,407.268256
-83.964035,265,407.321308
189.37614,656,407.387384
-42.1766,325,407.61879
-82.30603,192,407.675143
191.24417,533,407.715919
-102.28798,149,408.162129
-129.44537,416,408.352771
-139.70781,420,408.360571
-102.87404,287,408.432916
-97.42845,281,408.463324
-85.68815,248,408.624367
-84.37373,176,408.971516
-91.723526,224,409.21084
169.34924,539,409.393306
-61.609715,219,410.067024
-71.09879,170,410.072731
-57.30487,362,410.37283
180.20866,440,410.459203
-137.30278,509,410.496326
-83.41846,157,410.884863
83.491165,549,411.018873
49.311974,779,411.130769
-92.54253,221,411.373236
178.05408,447,411.559474
-64.967445,269,411.652875
-74.5681,305,411.753902
-141.25824,378,411.784175
-101.8332,196,411.850153
-84.84098,269,411.905398
-53.95243,184,412.335431
-134.91882,419,412.543824
-70.69084,326,412.72844
-93.816826,281,412.800313
-79.81922,202,413.258469
-88.96623,152,414.278901
198.29999,536,414.53809
-143.74658,343,414.818399
-129.28764,395,414.902082
-165.193,604,415.094129
-106.06154,409,415.310824
78.32472,1000,416.48679
10.606059,1000,416.873768
