#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-90.879486,266,88.841355
0.5047226,219,89.29456
-40.536724,123,89.546638
-21.28656,211,89.706525
12.876411,1000,89.931605
84.38347,1000,90.113405
5.081848,139,90.289453
-71.44705,183,90.29414
-21.748566,221,93.664224
-6.937042,167,93.777544
-46.50885,186,93.882903
100.152855,1000,94.132693
-222.4168,351,94.190722
-20.145348,138,94.496614
70.35281,1000,94.647698
47.9868,200,94.84724
9.03582,186,95.012712
13.702118,229,95.151811
57.059097,145,95.252987
24.515945,202,95.373613
68.19477,1000,95.511126
-14.000046,218,95.894653
12.365128,206,96.081843
34.182465,1000,97.807242
69.981445,1000,102.054773
14.390335,156,103.43916
110.912575,1000,104.25203
138.2181,1000,104.873665
97.84904,1000,105.236347
-5.445389,122,105.247214
114.388985,1000,105.417989
20.866295,260,105.524672
74.61709,1000,105.928977
27.04734,166,106.042416
23.803146,1000,106.098742
25.75808,132,106.132202
-190.80524,782,106.290818
43.170074,155,106.580061
2.4613647,188,107.034111
6.984268,164,107.353754
97.320435,1000,113.645065
66.307556,1000,114.063536
73.571434,1000,114.28968
91.20598,1000,115.027695
6.5194626,206,115.146618
137.40671,1000,115.270922
36.44586,178,115.276952
54.514896,1000,115.317308
38.862427,191,116.051963
-1.8720372,1000,116.341136
63.212944,1000,116.648931
33.171463,218,117.187086
34.73732,194,120.008581
-7.306175,135,120.014174
52.543427,167,120.800702
-37.22803,207,121.278449
-34.30694,219,121.368131
6.6070786,238,122.482495
39.621937,1000,122.785419
108.09707,1000,123.578787
125.46976,1000,123.730251
68.448,1000,123.859962
72.8905,1000,123.901584
-26.43605,196,124.680778
34.92826,1000,131.155095
118.69259,1000,131.265495
96.43364,1000,132.47997
128.53984,1000,132.759831
-13.893936,196,132.772053
14.893409,1000,133.392773
58.597378,1000,133.49815
97.75789,1000,133.649169
-49.928326,230,134.477134
77.622574,1000,134.529883
48.968246,202,135.645571
139.54225,1000,140.357572
107.66852,1000,141.849231
82.27079,1000,142.195909
70.987854,1000,142.212533
86.693794,1000,143.011913
88.53922,1000,143.209835
129.09782,1000,144.297331
53.85383,1000,145.659761
118.280525,1000,150.261325
69.706505,1000,151.557949
-33.51938,428,151.641578
67.51248,1000,151.82285
57.318924,1000,151.834769
55.826687,1000,152.467494
121.50877,1000,152.623003
-15.879471,211,152.680983
-46.24534,1000,153.423884
74.21076,1000,159.096283
120.06825,1000,160.358187
57.56366,1000,160.549448
116.561806,1000,160.563713
22.878197,224,160.644054
105.79877,1000,161.197231
96.30364,1000,161.34237
59.04243,1000,161.402535
10.208679,256,161.691081
-40.202503,279,161.783337
99.02507,1000,162.006883
-22.941093,210,163.036968
38.367233,191,167.035047
49.59257,1000,168.93867
20.549171,1000,169.290201
108.39326,1000,170.04073
124.222824,1000,170.248462
92.9334,1000,170.329588
127.94125,1000,170.776843
102.00272,1000,170.88122
6.624794,134,170.912076
-21.303696,229,171.143206
-11.020409,234,171.748928
27.30471,207,171.785595
66.90192,223,172.189885
32.689194,176,172.672854
34.803757,187,172.770313
63.435287,1000,175.71963
