#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-19.0,544,369.568104
-15.0,583,369.568147
-20.0,497,369.718135
-19.0,612,370.721657
-17.0,456,370.942002
-18.0,548,371.155455
-16.0,660,371.794152
-15.0,633,371.941245
-20.0,495,373.883637
-18.0,562,374.214625
-17.0,444,374.487795
-16.0,545,374.988332
-19.0,539,375.272485
-17.0,467,375.291779
-13.0,725,375.307843
-19.0,568,376.068164
-21.0,491,377.128528
-17.0,531,377.721172
-18.0,514,377.883884
-19.0,415,378.04143
-19.0,542,378.866904
-17.0,572,379.053952
-18.0,482,379.251811
-15.0,650,379.2938
-16.0,418,379.903173
-20.0,462,380.781544
-20.0,416,380.793772
-21.0,567,381.63254
-18.0,475,382.419044
-17.0,525,382.522018
-16.0,508,382.604158
-20.0,426,382.713789
-19.0,592,388.431111
-17.0,556,390.062207
-17.0,580,390.228073
-18.0,471,390.356297
-21.0,538,391.562634
-19.0,566,392.09558
-18.0,629,392.334243
-14.0,675,392.737913
-14.0,707,392.767225
-15.0,574,393.799982
-18.0,535,393.841445
-20.0,595,394.113527
-20.0,505,395.392519
-15.0,620,395.607612
-18.0,578,396.101645
-18.0,556,396.361212
-17.0,468,396.849195
-17.0,516,397.462049
-20.0,564,397.509435
-11.0,818,398.092475
-17.0,430,398.19397
-19.0,523,399.010234
-17.0,508,399.666556
-18.0,630,400.199635
-19.0,543,400.385264
-20.0,479,400.583664
-19.0,543,401.042052
-16.0,559,407.265245
-16.0,624,407.786255
-18.0,606,408.486075
-16.0,681,409.621153
-17.0,572,409.635097
-16.0,716,410.382606
-14.0,685,410.56268
-18.0,615,410.573876
-20.0,526,410.690895
-18.0,589,411.613281
-19.0,564,412.152959
-17.0,613,413.617014
-16.0,634,413.751392
-19.0,555,414.005277
-18.0,599,414.467042
-17.0,644,414.769048
-17.0,560,415.265694
-15.0,746,415.551226
-15.0,667,416.497206
-20.0,410,417.130388
-17.0,541,417.276295
-20.0,563,417.295036
-18.0,539,417.518454
-18.0,544,418.797676
-16.0,648,418.984088
-17.0,549,420.062494
-14.0,712,420.168427
-17.0,482,420.426875
-13.0,665,427.176202
-15.0,703,427.285854
-12.0,769,428.086638
-16.0,545,428.105055
-19.0,469,428.798414
-21.0,523,429.058771
-14.0,718,429.058806
-18.0,472,429.089896
-19.0,500,430.437986
-19.0,497,431.335931
-17.0,454,431.749829
-18.0,573,431.821737
-15.0,700,431.845491
-18.0,614,433.068988
-17.0,654,433.307923
-16.0,672,433.431247
-17.0,566,434.119552
-17.0,490,435.026658
-18.0,504,435.102856
-18.0,676,435.740196
-13.0,704,436.33694
-19.0,470,436.368969
-19.0,522,436.829644
-18.0,581,436.868079
-17.0,505,437.416918
-20.0,618,439.055068
-18.0,613,439.096298
-17.0,437,445.864571
-16.0,647,446.120228
-18.0,698,447.047113
-18.0,543,447.110297
-14.0,740,447.353388
-14.0,829,448.382447
-13.0,700,449.800564
-14.0,727,449.944587
-15.0,643,450.296568
-11.0,732,450.623509
-17.0,604,451.032912
-19.0,576,451.096953
-12.0,669,451.401717
-16.0,568,452.079983
-20.0,435,453.915284
-15.0,625,454.009422
-17.0,671,454.177551
-15.0,620,454.334364
-18.0,599,455.297371
-20.0,532,455.541808
-16.0,739,455.850131
-7.0,902,456.49896
-15.0,488,457.353973
-20.0,545,457.890947
-17.0,723,458.638796
-18.0,505,458.835306
-13.0,740,458.845401
-19.0,482,465.203779
-15.0,674,465.895453
-18.0,612,466.687569
-14.0,665,467.885678
-20.0,555,468.639102
-16.0,557,468.65148
-20.0,595,469.062153
-12.0,856,469.661348
-14.0,748,469.710335
-21.0,467,469.734599
-16.0,639,470.061912
-15.0,681,472.317778
-19.0,623,472.705158
-16.0,599,472.961297
-18.0,569,473.429917
-17.0,592,473.562255
-17.0,636,473.80444
-14.0,734,474.830825
-4.0,1059,475.555377
-18.0,623,476.760479
-13.0,768,477.31626
-20.0,618,477.576885
-16.0,626,477.871093
-13.0,763,477.925025
-16.0,731,478.187778
-18.0,638,485.173932
-13.0,749,486.608846
-16.0,619,486.974488
-18.0,610,487.47393
-17.0,580,487.545521
-20.0,488,487.559057
-15.0,649,488.340652
-13.0,753,488.963531
-11.0,852,490.702669
-14.0,549,491.114127
-15.0,640,491.137821
-16.0,587,491.300559
-20.0,492,491.54479
-11.0,824,491.981303
-16.0,505,492.256656
-10.0,809,492.81862
-20.0,525,494.133604
-19.0,457,494.281556
-12.0,720,495.806666
-12.0,724,495.856791
-11.0,712,496.176353
-16.0,635,496.395195
-15.0,706,496.586395
-16.0,659,497.117344
-20.0,540,497.665451
-11.0,661,504.789615
-21.0,545,505.611822
-17.0,574,506.514593
-21.0,660,506.680251
-14.0,730,506.776977
-14.0,690,507.090069
-16.0,670,507.672833
-14.0,754,508.753244
-13.0,681,509.209688
-20.0,424,509.434325
-17.0,587,510.330885
-15.0,631,510.872049
-12.0,813,510.904022
-11.0,669,511.43569
-19.0,678,512.076405
-19.0,513,512.098762
-18.0,586,513.022242
-12.0,653,513.676803
-17.0,535,514.369237
-16.0,618,514.879761
-14.0,744,515.161749
-18.0,546,515.615988
-18.0,576,515.830693
-15.0,738,516.223961
-12.0,784,524.303437
-12.0,746,524.709829
-15.0,695,525.076147
-18.0,578,525.115309
-16.0,638,525.231931
-18.0,572,525.535399
-13.0,687,526.493937
-16.0,790,527.548242
-16.0,574,528.035293
-16.0,472,528.287577
-14.0,582,528.498144
-14.0,584,528.909014
-14.0,728,530.258519
-10.0,818,530.400609
-13.0,693,530.997689
-12.0,623,531.599736
-13.0,636,532.170421
-17.0,544,532.446598
-14.0,707,532.894654
-10.0,795,533.674092
-15.0,708,534.864826
-17.0,521,535.561882
-12.0,808,535.656819
-11.0,764,535.970764
-17.0,692,536.109596
-19.0,518,536.272562
-18.0,600,536.366562
-10.0,760,544.790352
-14.0,554,545.435822
-11.0,778,546.107481
-15.0,665,546.607347
-15.0,765,547.121466
-10.0,834,547.170107
-14.0,823,547.882569
-18.0,566,548.46894
-4.0,1007,548.986363
-17.0,623,550.148954
-17.0,482,550.29742
-11.0,756,550.357506
-14.0,621,550.656662
-14.0,670,552.242117
-17.0,595,552.35305
-9.0,875,552.821833
-19.0,464,553.329499
-14.0,702,553.570029
-17.0,612,554.151423
-12.0,726,555.086878
-13.0,694,555.179084
-17.0,655,567.19314
-8.0,824,567.239659
-13.0,757,567.441844
-16.0,573,567.625623
-13.0,975,568.797442
-12.0,926,570.064082
-14.0,769,570.908977
-13.0,784,570.932435
-20.0,461,571.531653
-15.0,643,573.186909
